Partner ID,Week Start,Active_Days,Consistency Bonus,Month
243351,2019-03-04,6,10,2019-03
243351,2019-03-11,7,10,2019-03
243351,2019-03-18,5,10,2019-03
243351,2019-03-25,4,0,2019-03
243351,2019-04-01,6,10,2019-04
243351,2019-04-08,5,10,2019-04
243351,2019-04-15,6,10,2019-04
243351,2019-04-22,6,10,2019-04
243456,2018-12-31,3,0,2018-12
243456,2019-01-14,1,0,2019-01
243456,2019-03-04,1,0,2019-03
243456,2019-04-22,2,0,2019-04
243456,2019-04-29,2,0,2019-04
244486,2019-04-15,4,0,2019-04
244486,2019-04-22,6,10,2019-04
244713,2019-01-07,2,0,2019-01
244713,2019-01-14,1,0,2019-01
244713,2019-01-28,4,0,2019-01
244713,2019-02-04,7,10,2019-02
244713,2019-02-11,2,0,2019-02
244713,2019-02-18,3,0,2019-02
244713,2019-02-25,5,10,2019-02
244713,2019-03-04,4,0,2019-03
244713,2019-03-11,4,0,2019-03
244713,2019-03-18,4,0,2019-03
244713,2019-03-25,6,10,2019-03
244713,2019-04-01,5,10,2019-04
244713,2019-04-08,1,0,2019-04
244713,2019-04-15,3,0,2019-04
244713,2019-04-22,6,10,2019-04
244727,2019-02-04,6,10,2019-02
244727,2019-02-11,4,0,2019-02
244727,2019-02-18,7,10,2019-02
244727,2019-02-25,6,10,2019-02
244727,2019-03-04,2,0,2019-03
244807,2019-03-11,3,0,2019-03
244807,2019-03-18,2,0,2019-03
244807,2019-03-25,3,0,2019-03
244820,2018-12-31,3,0,2018-12
244820,2019-01-07,6,10,2019-01
244820,2019-01-14,6,10,2019-01
244820,2019-01-21,6,10,2019-01
244820,2019-01-28,7,10,2019-01
244820,2019-02-04,5,10,2019-02
244820,2019-02-11,7,10,2019-02
244820,2019-02-18,7,10,2019-02
244820,2019-02-25,7,10,2019-02
244820,2019-03-04,6,10,2019-03
244820,2019-03-11,7,10,2019-03
244820,2019-03-18,2,0,2019-03
244820,2019-03-25,6,10,2019-03
244820,2019-04-01,7,10,2019-04
244820,2019-04-08,6,10,2019-04
244820,2019-04-15,6,10,2019-04
244820,2019-04-22,6,10,2019-04
244820,2019-04-29,2,0,2019-04
244856,2018-12-31,2,0,2018-12
244856,2019-01-07,6,10,2019-01
244856,2019-01-14,1,0,2019-01
244856,2019-01-28,2,0,2019-01
244856,2019-02-04,5,10,2019-02
244856,2019-02-11,5,10,2019-02
244856,2019-02-18,7,10,2019-02
244856,2019-02-25,1,0,2019-02
244856,2019-03-25,4,0,2019-03
244856,2019-04-01,7,10,2019-04
244856,2019-04-08,6,10,2019-04
244856,2019-04-15,4,0,2019-04
244875,2018-12-31,4,0,2018-12
244875,2019-04-01,2,0,2019-04
244875,2019-04-15,1,0,2019-04
244968,2019-01-28,1,0,2019-01
244968,2019-02-11,2,0,2019-02
244968,2019-02-25,1,0,2019-02
244968,2019-03-11,2,0,2019-03
244968,2019-03-18,3,0,2019-03
244968,2019-03-25,5,10,2019-03
244968,2019-04-01,4,0,2019-04
244980,2018-12-31,6,10,2018-12
244980,2019-01-07,1,0,2019-01
244980,2019-01-14,7,10,2019-01
244980,2019-01-21,5,10,2019-01
244980,2019-01-28,1,0,2019-01
244980,2019-02-04,7,10,2019-02
244980,2019-02-11,6,10,2019-02
244980,2019-02-18,2,0,2019-02
244980,2019-02-25,7,10,2019-02
244980,2019-03-04,2,0,2019-03
244980,2019-03-11,7,10,2019-03
244980,2019-03-18,7,10,2019-03
244980,2019-03-25,1,0,2019-03
244980,2019-04-01,7,10,2019-04
244980,2019-04-08,5,10,2019-04
244980,2019-04-15,2,0,2019-04
244980,2019-04-22,7,10,2019-04
244980,2019-04-29,2,0,2019-04
247074,2018-12-31,1,0,2018-12
247074,2019-01-07,4,0,2019-01
247074,2019-01-28,4,0,2019-01
247074,2019-02-11,4,0,2019-02
247074,2019-02-18,4,0,2019-02
247074,2019-02-25,6,10,2019-02
247074,2019-03-04,7,10,2019-03
247074,2019-03-11,6,10,2019-03
247074,2019-03-18,5,10,2019-03
247074,2019-03-25,6,10,2019-03
247074,2019-04-01,3,0,2019-04
247074,2019-04-08,7,10,2019-04
247074,2019-04-15,3,0,2019-04
247074,2019-04-22,7,10,2019-04
247074,2019-04-29,2,0,2019-04
247139,2019-02-25,4,0,2019-02
247139,2019-03-04,6,10,2019-03
247139,2019-03-11,3,0,2019-03
247139,2019-03-18,2,0,2019-03
247139,2019-03-25,5,10,2019-03
247139,2019-04-01,4,0,2019-04
247209,2019-02-25,5,10,2019-02
247209,2019-03-04,1,0,2019-03
247260,2019-02-25,4,0,2019-02
247260,2019-03-04,5,10,2019-03
247260,2019-03-11,6,10,2019-03
247260,2019-03-18,6,10,2019-03
247260,2019-03-25,5,10,2019-03
247260,2019-04-01,6,10,2019-04
247260,2019-04-08,6,10,2019-04
247260,2019-04-15,5,10,2019-04
247260,2019-04-22,5,10,2019-04
247260,2019-04-29,2,0,2019-04
247308,2019-02-04,7,10,2019-02
247308,2019-02-11,6,10,2019-02
247316,2019-01-14,4,0,2019-01
247316,2019-01-21,5,10,2019-01
247430,2019-02-11,1,0,2019-02
247430,2019-02-18,7,10,2019-02
247430,2019-02-25,7,10,2019-02
247430,2019-03-04,3,0,2019-03
247430,2019-03-11,6,10,2019-03
247430,2019-03-18,7,10,2019-03
247430,2019-03-25,2,0,2019-03
247495,2018-12-31,5,10,2018-12
247495,2019-01-07,7,10,2019-01
247495,2019-01-14,6,10,2019-01
247495,2019-01-21,2,0,2019-01
247495,2019-01-28,7,10,2019-01
247495,2019-02-04,7,10,2019-02
247495,2019-02-11,6,10,2019-02
247495,2019-02-18,4,0,2019-02
247495,2019-02-25,5,10,2019-02
247495,2019-03-04,5,10,2019-03
247495,2019-03-11,1,0,2019-03
247495,2019-03-18,4,0,2019-03
247495,2019-03-25,6,10,2019-03
247495,2019-04-01,6,10,2019-04
247495,2019-04-08,6,10,2019-04
247495,2019-04-15,7,10,2019-04
247495,2019-04-22,4,0,2019-04
247495,2019-04-29,2,0,2019-04
248823,2018-12-31,5,10,2018-12
248823,2019-01-07,6,10,2019-01
248823,2019-01-14,6,10,2019-01
248823,2019-01-21,4,0,2019-01
248823,2019-02-11,2,0,2019-02
248823,2019-02-25,2,0,2019-02
248916,2019-01-07,5,10,2019-01
248916,2019-01-14,3,0,2019-01
248916,2019-01-21,7,10,2019-01
248916,2019-01-28,5,10,2019-01
248916,2019-02-04,1,0,2019-02
248974,2018-12-31,5,10,2018-12
248974,2019-01-07,6,10,2019-01
248974,2019-01-14,7,10,2019-01
248974,2019-01-21,7,10,2019-01
248974,2019-01-28,6,10,2019-01
248974,2019-02-04,7,10,2019-02
248974,2019-02-11,6,10,2019-02
248974,2019-02-18,7,10,2019-02
248974,2019-02-25,6,10,2019-02
248974,2019-03-04,6,10,2019-03
248974,2019-03-11,3,0,2019-03
248974,2019-04-01,3,0,2019-04
248974,2019-04-08,6,10,2019-04
248974,2019-04-15,5,10,2019-04
248974,2019-04-22,7,10,2019-04
248974,2019-04-29,1,0,2019-04
249013,2018-12-31,5,10,2018-12
249013,2019-01-07,6,10,2019-01
249013,2019-02-04,2,0,2019-02
249013,2019-03-04,5,10,2019-03
249013,2019-03-11,6,10,2019-03
249013,2019-03-18,4,0,2019-03
249013,2019-03-25,7,10,2019-03
249013,2019-04-15,6,10,2019-04
249013,2019-04-22,5,10,2019-04
249013,2019-04-29,2,0,2019-04
249019,2018-12-31,1,0,2018-12
249019,2019-01-07,3,0,2019-01
249019,2019-01-14,3,0,2019-01
249019,2019-02-11,1,0,2019-02
249019,2019-02-18,1,0,2019-02
249019,2019-03-04,1,0,2019-03
249019,2019-03-18,2,0,2019-03
249019,2019-04-01,1,0,2019-04
249019,2019-04-08,5,10,2019-04
249019,2019-04-15,5,10,2019-04
249019,2019-04-22,4,0,2019-04
249019,2019-04-29,1,0,2019-04
249057,2019-01-14,4,0,2019-01
249057,2019-01-21,7,10,2019-01
249057,2019-01-28,7,10,2019-01
249057,2019-02-04,2,0,2019-02
249057,2019-03-11,1,0,2019-03
249057,2019-03-25,3,0,2019-03
249057,2019-04-01,1,0,2019-04
250343,2018-12-31,1,0,2018-12
250484,2018-12-31,2,0,2018-12
250484,2019-01-14,1,0,2019-01
250484,2019-02-04,2,0,2019-02
250484,2019-02-11,3,0,2019-02
250484,2019-02-18,4,0,2019-02
250484,2019-02-25,5,10,2019-02
250484,2019-03-04,7,10,2019-03
250484,2019-03-11,7,10,2019-03
250484,2019-03-18,1,0,2019-03
250484,2019-03-25,6,10,2019-03
250484,2019-04-01,5,10,2019-04
250484,2019-04-08,6,10,2019-04
250484,2019-04-15,7,10,2019-04
250484,2019-04-22,6,10,2019-04
250484,2019-04-29,2,0,2019-04
250530,2018-12-31,1,0,2018-12
250530,2019-01-07,5,10,2019-01
250530,2019-01-14,3,0,2019-01
250530,2019-01-21,2,0,2019-01
250530,2019-03-11,1,0,2019-03
250530,2019-03-18,6,10,2019-03
250530,2019-03-25,7,10,2019-03
250530,2019-04-01,6,10,2019-04
250530,2019-04-08,6,10,2019-04
250530,2019-04-15,6,10,2019-04
250530,2019-04-22,5,10,2019-04
250530,2019-04-29,1,0,2019-04
250531,2018-12-31,5,10,2018-12
250531,2019-01-07,5,10,2019-01
250531,2019-01-28,2,0,2019-01
251916,2018-12-31,4,0,2018-12
251916,2019-01-07,5,10,2019-01
251916,2019-02-04,5,10,2019-02
251916,2019-02-11,7,10,2019-02
251916,2019-02-18,6,10,2019-02
251916,2019-02-25,6,10,2019-02
251916,2019-03-04,7,10,2019-03
251916,2019-03-11,6,10,2019-03
251916,2019-03-18,6,10,2019-03
251916,2019-03-25,3,0,2019-03
251916,2019-04-01,6,10,2019-04
251916,2019-04-08,5,10,2019-04
251916,2019-04-15,7,10,2019-04
251916,2019-04-22,7,10,2019-04
251916,2019-04-29,1,0,2019-04
251925,2018-12-31,4,0,2018-12
251925,2019-01-07,7,10,2019-01
251925,2019-01-14,5,10,2019-01
252024,2018-12-31,6,10,2018-12
252024,2019-01-07,5,10,2019-01
252024,2019-01-14,7,10,2019-01
252024,2019-01-21,2,0,2019-01
253386,2018-12-31,6,10,2018-12
253386,2019-01-07,7,10,2019-01
253386,2019-01-14,5,10,2019-01
253386,2019-01-21,7,10,2019-01
253386,2019-01-28,7,10,2019-01
253386,2019-02-04,7,10,2019-02
253386,2019-02-11,7,10,2019-02
253386,2019-02-18,7,10,2019-02
253386,2019-02-25,7,10,2019-02
253386,2019-03-04,7,10,2019-03
253386,2019-03-11,3,0,2019-03
253386,2019-03-25,5,10,2019-03
253386,2019-04-01,7,10,2019-04
253386,2019-04-08,7,10,2019-04
253386,2019-04-15,6,10,2019-04
253386,2019-04-22,7,10,2019-04
253386,2019-04-29,2,0,2019-04
253412,2018-12-31,6,10,2018-12
253412,2019-01-07,6,10,2019-01
253412,2019-01-14,6,10,2019-01
253412,2019-01-21,2,0,2019-01
258065,2019-02-11,1,0,2019-02
261480,2018-12-31,3,0,2018-12
261480,2019-01-07,6,10,2019-01
261480,2019-01-14,7,10,2019-01
261480,2019-01-21,5,10,2019-01
261480,2019-01-28,2,0,2019-01
261480,2019-02-04,7,10,2019-02
261480,2019-02-11,6,10,2019-02
261480,2019-02-18,7,10,2019-02
261480,2019-02-25,6,10,2019-02
261480,2019-03-11,6,10,2019-03
261480,2019-03-18,3,0,2019-03
261480,2019-03-25,2,0,2019-03
261480,2019-04-01,7,10,2019-04
261480,2019-04-08,7,10,2019-04
261480,2019-04-15,4,0,2019-04
261480,2019-04-22,7,10,2019-04
261480,2019-04-29,1,0,2019-04
261685,2019-02-04,1,0,2019-02
261779,2018-12-31,4,0,2018-12
261779,2019-01-07,6,10,2019-01
261779,2019-01-14,6,10,2019-01
261779,2019-01-28,4,0,2019-01
261779,2019-02-04,4,0,2019-02
261779,2019-02-25,2,0,2019-02
261779,2019-03-11,6,10,2019-03
261779,2019-03-18,3,0,2019-03
261779,2019-03-25,5,10,2019-03
261779,2019-04-01,6,10,2019-04
261779,2019-04-08,2,0,2019-04
261779,2019-04-15,7,10,2019-04
261779,2019-04-22,5,10,2019-04
261816,2019-01-28,1,0,2019-01
261816,2019-02-04,4,0,2019-02
261816,2019-02-11,7,10,2019-02
261816,2019-02-18,6,10,2019-02
261839,2018-12-31,3,0,2018-12
261839,2019-03-04,2,0,2019-03
261839,2019-04-15,2,0,2019-04
261839,2019-04-22,2,0,2019-04
261839,2019-04-29,2,0,2019-04
261874,2019-02-04,4,0,2019-02
261874,2019-02-11,5,10,2019-02
261874,2019-02-18,6,10,2019-02
261874,2019-02-25,1,0,2019-02
262734,2019-01-14,1,0,2019-01
262968,2018-12-31,5,10,2018-12
262968,2019-01-07,6,10,2019-01
262968,2019-01-14,7,10,2019-01
262968,2019-01-21,6,10,2019-01
262968,2019-01-28,1,0,2019-01
263187,2018-12-31,6,10,2018-12
263187,2019-01-07,7,10,2019-01
263187,2019-01-14,1,0,2019-01
263187,2019-01-28,5,10,2019-01
263187,2019-02-04,3,0,2019-02
263187,2019-02-11,1,0,2019-02
263187,2019-02-18,3,0,2019-02
263999,2018-12-31,4,0,2018-12
263999,2019-01-07,4,0,2019-01
263999,2019-01-14,6,10,2019-01
263999,2019-01-21,4,0,2019-01
263999,2019-01-28,4,0,2019-01
263999,2019-02-04,4,0,2019-02
263999,2019-02-11,7,10,2019-02
263999,2019-02-18,6,10,2019-02
263999,2019-02-25,4,0,2019-02
263999,2019-03-04,2,0,2019-03
263999,2019-03-11,7,10,2019-03
263999,2019-03-18,5,10,2019-03
263999,2019-03-25,6,10,2019-03
263999,2019-04-01,3,0,2019-04
264007,2019-02-18,1,0,2019-02
264007,2019-04-29,1,0,2019-04
264054,2018-12-31,3,0,2018-12
264054,2019-01-07,3,0,2019-01
264054,2019-01-14,2,0,2019-01
264054,2019-01-21,2,0,2019-01
264054,2019-01-28,3,0,2019-01
264054,2019-02-04,4,0,2019-02
264054,2019-02-11,3,0,2019-02
264054,2019-02-18,7,10,2019-02
264054,2019-02-25,5,10,2019-02
264054,2019-03-04,3,0,2019-03
264054,2019-03-11,3,0,2019-03
264054,2019-03-18,2,0,2019-03
264054,2019-03-25,2,0,2019-03
264054,2019-04-01,3,0,2019-04
264054,2019-04-08,7,10,2019-04
264054,2019-04-15,4,0,2019-04
264054,2019-04-22,7,10,2019-04
264134,2018-12-31,2,0,2018-12
264164,2019-01-14,2,0,2019-01
264171,2019-01-07,2,0,2019-01
264171,2019-01-14,6,10,2019-01
264171,2019-01-21,4,0,2019-01
264171,2019-01-28,1,0,2019-01
264171,2019-02-11,4,0,2019-02
264171,2019-02-18,4,0,2019-02
264171,2019-02-25,5,10,2019-02
264171,2019-03-04,3,0,2019-03
264171,2019-03-11,6,10,2019-03
264171,2019-03-18,4,0,2019-03
264171,2019-03-25,5,10,2019-03
264171,2019-04-01,2,0,2019-04
264171,2019-04-08,4,0,2019-04
264171,2019-04-15,3,0,2019-04
264171,2019-04-22,4,0,2019-04
264171,2019-04-29,2,0,2019-04
264293,2019-01-28,7,10,2019-01
264293,2019-02-04,7,10,2019-02
264293,2019-02-11,6,10,2019-02
264293,2019-02-18,6,10,2019-02
264293,2019-02-25,7,10,2019-02
264293,2019-03-04,2,0,2019-03
264293,2019-03-11,2,0,2019-03
264293,2019-03-18,4,0,2019-03
264293,2019-03-25,3,0,2019-03
264293,2019-04-08,1,0,2019-04
264339,2019-01-07,5,10,2019-01
264339,2019-01-21,5,10,2019-01
264339,2019-01-28,7,10,2019-01
264339,2019-02-04,2,0,2019-02
264339,2019-02-11,6,10,2019-02
264339,2019-02-18,6,10,2019-02
264339,2019-02-25,6,10,2019-02
264339,2019-03-04,6,10,2019-03
264339,2019-03-11,6,10,2019-03
264339,2019-03-18,5,10,2019-03
264339,2019-03-25,6,10,2019-03
264339,2019-04-01,4,0,2019-04
264339,2019-04-08,2,0,2019-04
264339,2019-04-15,6,10,2019-04
264339,2019-04-22,6,10,2019-04
264339,2019-04-29,1,0,2019-04
264358,2019-01-21,1,0,2019-01
264358,2019-01-28,1,0,2019-01
264358,2019-02-04,1,0,2019-02
264358,2019-03-11,2,0,2019-03
264358,2019-03-18,1,0,2019-03
264358,2019-03-25,1,0,2019-03
265373,2018-12-31,2,0,2018-12
265373,2019-01-07,2,0,2019-01
265373,2019-01-14,5,10,2019-01
265373,2019-03-04,4,0,2019-03
265373,2019-03-11,2,0,2019-03
265373,2019-03-18,1,0,2019-03
265373,2019-03-25,1,0,2019-03
265373,2019-04-08,1,0,2019-04
265373,2019-04-15,5,10,2019-04
265373,2019-04-22,4,0,2019-04
265373,2019-04-29,1,0,2019-04
265426,2019-04-15,2,0,2019-04
265426,2019-04-22,1,0,2019-04
265426,2019-04-29,1,0,2019-04
267245,2019-04-15,1,0,2019-04
267245,2019-04-22,4,0,2019-04
269436,2019-01-14,2,0,2019-01
269607,2019-01-21,2,0,2019-01
269607,2019-01-28,3,0,2019-01
269607,2019-02-04,1,0,2019-02
269693,2018-12-31,4,0,2018-12
269693,2019-01-07,4,0,2019-01
269693,2019-01-14,5,10,2019-01
269693,2019-01-21,4,0,2019-01
269693,2019-01-28,4,0,2019-01
269693,2019-02-25,3,0,2019-02
269693,2019-03-04,1,0,2019-03
269693,2019-03-11,3,0,2019-03
269693,2019-03-18,3,0,2019-03
269693,2019-03-25,6,10,2019-03
269693,2019-04-01,1,0,2019-04
269693,2019-04-22,1,0,2019-04
269725,2018-12-31,5,10,2018-12
269725,2019-01-07,6,10,2019-01
269725,2019-01-14,7,10,2019-01
269725,2019-01-21,7,10,2019-01
269725,2019-01-28,7,10,2019-01
269725,2019-02-04,7,10,2019-02
269725,2019-02-11,7,10,2019-02
269725,2019-02-18,1,0,2019-02
269725,2019-02-25,7,10,2019-02
269725,2019-03-04,7,10,2019-03
269725,2019-03-11,7,10,2019-03
269725,2019-03-18,6,10,2019-03
269725,2019-03-25,6,10,2019-03
269725,2019-04-01,5,10,2019-04
269725,2019-04-08,7,10,2019-04
269725,2019-04-15,6,10,2019-04
269725,2019-04-22,7,10,2019-04
269725,2019-04-29,1,0,2019-04
274285,2019-01-07,1,0,2019-01
274285,2019-04-01,1,0,2019-04
274285,2019-04-15,1,0,2019-04
274490,2019-01-14,1,0,2019-01
274490,2019-01-21,5,10,2019-01
274490,2019-01-28,6,10,2019-01
274490,2019-02-04,4,0,2019-02
274490,2019-02-11,6,10,2019-02
274490,2019-02-18,5,10,2019-02
274490,2019-02-25,7,10,2019-02
274490,2019-03-04,2,0,2019-03
274490,2019-03-18,7,10,2019-03
274490,2019-03-25,7,10,2019-03
274490,2019-04-01,4,0,2019-04
274490,2019-04-22,2,0,2019-04
274490,2019-04-29,2,0,2019-04
274521,2018-12-31,5,10,2018-12
274521,2019-01-07,4,0,2019-01
274722,2018-12-31,1,0,2018-12
274722,2019-01-14,1,0,2019-01
274722,2019-03-11,2,0,2019-03
274722,2019-03-25,1,0,2019-03
274794,2019-01-07,2,0,2019-01
274794,2019-01-14,7,10,2019-01
274794,2019-01-21,7,10,2019-01
274794,2019-01-28,6,10,2019-01
296901,2019-03-04,6,10,2019-03
296901,2019-03-11,6,10,2019-03
296901,2019-03-18,6,10,2019-03
296901,2019-03-25,6,10,2019-03
296901,2019-04-01,1,0,2019-04
296901,2019-04-08,2,0,2019-04
296901,2019-04-15,6,10,2019-04
296901,2019-04-22,2,0,2019-04
297186,2019-01-07,2,0,2019-01
297186,2019-01-14,7,10,2019-01
297186,2019-01-21,6,10,2019-01
297186,2019-01-28,5,10,2019-01
297186,2019-02-04,5,10,2019-02
297186,2019-02-11,4,0,2019-02
297186,2019-02-18,5,10,2019-02
297186,2019-02-25,5,10,2019-02
297186,2019-03-04,7,10,2019-03
297186,2019-03-11,6,10,2019-03
297186,2019-03-18,1,0,2019-03
297186,2019-03-25,5,10,2019-03
297186,2019-04-01,4,0,2019-04
297186,2019-04-08,7,10,2019-04
297186,2019-04-15,4,0,2019-04
297186,2019-04-22,7,10,2019-04
297186,2019-04-29,1,0,2019-04
338447,2018-12-31,1,0,2018-12
338447,2019-01-07,3,0,2019-01
338447,2019-01-14,3,0,2019-01
338447,2019-01-21,5,10,2019-01
338447,2019-01-28,6,10,2019-01
338447,2019-02-04,3,0,2019-02
338447,2019-02-11,2,0,2019-02
338447,2019-03-04,6,10,2019-03
338447,2019-03-11,3,0,2019-03
338447,2019-03-18,4,0,2019-03
338447,2019-03-25,4,0,2019-03
338447,2019-04-01,3,0,2019-04
338447,2019-04-08,4,0,2019-04
338483,2019-01-21,1,0,2019-01
338483,2019-01-28,1,0,2019-01
338483,2019-02-04,1,0,2019-02
338547,2018-12-31,3,0,2018-12
338547,2019-01-07,6,10,2019-01
338547,2019-01-14,4,0,2019-01
338547,2019-01-21,4,0,2019-01
338547,2019-01-28,3,0,2019-01
338547,2019-02-04,5,10,2019-02
338547,2019-02-11,6,10,2019-02
338547,2019-02-18,7,10,2019-02
338547,2019-03-04,1,0,2019-03
338547,2019-03-11,5,10,2019-03
338547,2019-03-18,4,0,2019-03
338547,2019-03-25,5,10,2019-03
338547,2019-04-08,1,0,2019-04
338547,2019-04-22,1,0,2019-04
339004,2018-12-31,6,10,2018-12
339004,2019-01-07,6,10,2019-01
339004,2019-01-14,5,10,2019-01
341487,2019-01-14,6,10,2019-01
341487,2019-01-21,7,10,2019-01
341487,2019-01-28,6,10,2019-01
341487,2019-02-04,7,10,2019-02
341487,2019-02-11,6,10,2019-02
341487,2019-02-18,6,10,2019-02
341487,2019-02-25,7,10,2019-02
341487,2019-03-04,7,10,2019-03
341487,2019-03-11,6,10,2019-03
341487,2019-03-18,3,0,2019-03
341487,2019-03-25,7,10,2019-03
341487,2019-04-01,6,10,2019-04
341487,2019-04-08,7,10,2019-04
341487,2019-04-15,6,10,2019-04
341487,2019-04-22,4,0,2019-04
341487,2019-04-29,2,0,2019-04
341592,2019-01-28,3,0,2019-01
341592,2019-02-04,5,10,2019-02
342217,2018-12-31,1,0,2018-12
342217,2019-01-07,6,10,2019-01
342217,2019-01-14,5,10,2019-01
342217,2019-04-08,1,0,2019-04
342217,2019-04-22,2,0,2019-04
345233,2019-03-25,3,0,2019-03
345233,2019-04-01,6,10,2019-04
345233,2019-04-08,7,10,2019-04
345233,2019-04-15,3,0,2019-04
355403,2018-12-31,3,0,2018-12
355403,2019-01-07,6,10,2019-01
355403,2019-01-14,7,10,2019-01
355403,2019-01-21,5,10,2019-01
355403,2019-01-28,7,10,2019-01
355403,2019-02-04,7,10,2019-02
355403,2019-02-11,6,10,2019-02
355403,2019-02-18,7,10,2019-02
355403,2019-02-25,6,10,2019-02
355403,2019-03-04,5,10,2019-03
355403,2019-03-11,7,10,2019-03
355403,2019-03-18,5,10,2019-03
355403,2019-03-25,6,10,2019-03
355403,2019-04-01,7,10,2019-04
355403,2019-04-08,6,10,2019-04
